date,volumeUSD,feesUSD,tvlUSD
2022-12-19,829751.180642513,2489.2535419275387,49099561.95013199
2022-12-20,1820090.6195532614,5460.271858659784,49439842.24177906
2022-12-21,684353.8542588124,2053.0615627764373,49278092.410096474
2022-12-22,1234513.8418946292,3703.541525683888,49188645.12199914
2022-12-23,217481.5116907603,652.4445350722809,49305781.56784164
2022-12-24,30477.183166461477,91.43154949938443,49245348.21824032
2022-12-25,161693.16989902008,485.0795096970602,48952484.919158004
2022-12-26,187343.6119444162,562.0308358332486,48508441.47763359
2022-12-27,1126753.7316709599,3380.2611950128794,48012298.36623027
2022-12-28,2345837.3468915224,7037.512040674568,47717936.33460258
2022-12-29,362324.3422725593,1086.973026817678,48860944.127164006
2022-12-30,633648.3011827362,1900.9449035482087,48687236.88787397
2022-12-31,289507.98398877867,868.523951966336,48718517.50424795
2023-01-01,121668.97801661836,365.0069340498551,48814861.80559348
2023-01-02,524911.8578674772,1574.7355736024317,47821132.34356899
2023-01-03,211996.6302564651,635.9898907693953,47708214.5349048
2023-01-04,968844.2725795291,2906.5328177385873,48142497.603014864
2023-01-05,86581.95379388137,259.74586138164415,47594191.232728586
2023-01-06,513680.09715423326,1541.0402914626998,47721154.828004256
2023-01-07,116555.3663642677,349.6660990928031,47655042.65222621
2023-01-08,368869.5169152793,1106.608550745838,48945076.69925537
2023-01-09,945256.3455343039,2835.769036602912,47857811.76850118
2023-01-10,508350.62729187583,1525.0518818756275,48255083.22358149
2023-01-11,1267027.4700286184,3801.0824100858554,50740510.77082651
2023-01-12,5786034.3671051925,17358.103101315577,51429792.94532923
2023-01-13,6160196.058426702,18480.588175280107,52570592.63048159
2023-01-14,19674262.78819437,59022.7883645831,53386444.275382586
2023-01-15,3067964.635623967,9203.893906871901,52297137.87748646
2023-01-16,4777469.234024462,14332.407702073388,51681779.41301487
2023-01-17,3746533.911241868,11239.601733725605,51735812.58516658
2023-01-18,8740183.712045267,26220.5511361358,51279688.51466523
2023-01-19,1466077.7619564875,4398.233285869463,51806155.52423888
2023-01-20,3818979.440054906,11456.938320164718,53733882.68352988
2023-01-21,2843968.1289944234,8531.904386983271,53834139.252088115
2023-01-22,2998697.099097808,8996.091297293424,53661059.96490788
2023-01-23,1938519.0220986868,5815.55706629606,54086590.60973184
2023-01-24,6874290.56711274,20622.87170133822,53620423.232634306
2023-01-25,4015927.7009208007,12047.783102762403,54606194.801985435
2023-01-26,1304792.7894085112,3914.3783682255334,54239885.63680282
2023-01-27,2266921.2026431225,6800.763607929368,54107237.31889555
2023-01-28,350205.11206119263,1050.615336183578,53872110.809354216
2023-01-29,1799501.777264281,5398.505331792842,54827423.78206717
2023-01-30,3447536.59572256,10342.60978716768,53719641.73039469
2023-01-31,2616831.9740127344,7850.4959220382025,57099179.061914176
2023-02-01,3252084.3537524687,9756.253061257406,57769698.90826199
2023-02-02,4010467.774783851,12031.403324351553,57493139.46490278
2023-02-03,2761584.8850893085,8284.754655267925,56823989.14530512
2023-02-04,1140211.624552168,3420.6348736565037,56781071.40684949
2023-02-05,1552243.5398114685,4656.7306194344055,56271158.57915308
2023-02-06,2761584.8952914127,8284.754685874239,56025816.51740737
2023-02-07,3017886.8146490254,9053.660443947078,56890733.83279734
2023-02-08,3176397.7451816713,9529.193235545014,57132568.578144684
2023-02-09,5816658.7207025215,17449.976162107563,56050619.372207105
2023-02-10,3745404.6678695017,11236.214003608506,55632050.00488187
2023-02-11,656859.9941658718,1970.5799824976152,55861449.99923227
2023-02-12,1241699.9877351043,3725.0999632053126,55529281.170319155
2023-02-13,5271217.240033089,15813.651720099268,55107919.434775345
2023-02-14,4470250.487580912,13410.751462742737,55624853.45785514
2023-02-15,4903945.5611644555,14711.836683493368,57992909.02258043
2023-02-16,5826636.138133692,17479.908414401074,54009795.37445367
2023-02-17,11690915.35782493,35072.746073474795,55065892.797129035
2023-02-18,678950.9033840167,2036.8527101520503,52551516.03139924
2023-02-19,2355621.1471470026,7066.863441441008,53198251.3349548
2023-02-20,6607198.954939831,19821.59686481949,56033157.76291036
2023-02-21,4356402.061734422,13069.206185203266,55519323.114313655
2023-02-22,4239239.947618831,12717.719842856493,55426193.116743304
2023-02-23,4250671.72335611,12752.01517006833,55008319.097485855
2023-02-24,3928797.2693139957,11786.391807941987,55715209.55902521
2023-02-25,1053696.5868530693,3161.089760559207,55790779.782992005
2023-02-26,2150997.703761215,6452.993111283645,56165486.21067245
2023-02-27,3392829.576468403,10178.48872940521,55954086.691370144
2023-02-28,2022692.051499102,6068.076154497307,55614700.942055784
2023-03-01,3548133.3407387957,10644.400022216387,56304797.65858562
2023-03-02,1391403.2320305281,4174.209696091584,55051139.39907573
2023-03-03,4452084.471209429,13356.253413628287,53454846.61110203
2023-03-04,495962.31312643655,1487.8869393793098,53326397.406258136
2023-03-05,1238343.0514123477,3715.0291542370433,53515310.74668203
2023-03-06,603046.2055652636,1809.138616695791,53469175.28502941
2023-03-07,1969346.8186681822,5908.040456004546,53240620.05789135
2023-03-08,1836235.5150899917,5508.706545269975,52600013.545785755
2023-03-09,3811539.227421556,11434.617682264668,49665704.18251286
2023-03-10,6648331.962596266,19944.995887788795,49394887.40786715
2023-03-11,28627107.255863,85881.321767589,49897416.19114943
2023-03-12,7070213.913527912,21210.64174058374,50268123.37767375
2023-03-13,9831685.324467584,29495.055973402752,52639296.4154927
2023-03-14,10911018.391749285,32733.055175247853,53190635.81344792
2023-03-15,7939855.5701520005,23819.566710456,53044556.589384645
2023-03-16,4029455.901482943,12088.367704448829,53816029.37849346
