market_instance,dyn_net_return,stat_net_return,return_improvement,dyn_total_revenue,stat_total_revenue,revenue_improvement,dyn_avg_fee,stat_avg_fee,dyn_fee_volatility,dyn_avg_volume,stat_avg_volume,volume_ratio_dyn,volume_ratio_stat
0,0.08759245119823073,0.08909289286976448,-0.0015004416715337504,1950.4915213942236,4952.746830640376,-3002.2553092461526,0.00019071510958971485,0.0005,0.00011674250514314792,21.83670028907244,20.133805993590926,1.1184476970679458e-05,1.0328630231991245e-05
1,-0.5883541355839073,-0.5877167240711595,-0.0006374115127477653,1910.2476493867134,3184.9941392369387,-1274.7464898502253,0.00030290157038700044,0.0005,0.00020254660799315916,31.835899066954262,30.12462127983125,2.6938988766325417e-05,2.553872828377009e-05
2,0.06483183066931204,0.06624834911139985,-0.0014165184420878024,2419.0144701361955,5252.212137388383,-2833.1976672521873,0.00022542878809316935,0.0005,0.0001413772008030596,23.774095306994443,22.236740362418598,1.2479358209471087e-05,1.1694921203190005e-05
3,0.28925985001260673,0.29091639216705295,-0.0016565421544462167,2078.8405641772924,5391.601423260625,-3312.7608590833324,0.0001817365159281081,0.0005,0.00011010587826838962,19.28433722304865,17.680982615226764,8.889199568221394e-06,8.153292540016704e-06
4,-0.14379586187605933,-0.14248864785579768,-0.0013072140202616545,1802.572004725621,4416.850894489592,-2614.278889763971,0.00019386835006622818,0.0005,0.00011425430748545986,27.0510753012905,24.977193838904796,1.6390594835340822e-05,1.5127406129171982e-05
5,-0.5544373006358257,-0.5534332201008557,-0.001004080534970031,1864.3582288725565,3872.5336312798927,-2008.1754024073362,0.00023859402247649708,0.0005,0.0001347821360705916,33.40770966634475,31.33108003920131,2.596840162351595e-05,2.4372103598973387e-05
6,0.12090826539675449,0.12227070586176124,-0.0013624404650067479,2216.213364585984,4942.211891134216,-2725.998526548232,0.00021496433491753988,0.0005,0.00014519004841820031,22.644068470026333,21.0121207013286,1.189847114767137e-05,1.1052293174861609e-05
7,-0.38516612797013877,-0.38399578976369764,-0.001170338206441135,2124.3403663770678,4464.911023911168,-2340.5706575341,0.000248633663254254,0.0005,0.00018050541753596437,27.20988902503222,25.62865733131315,1.735153102310846e-05,1.644355753288623e-05
8,0.0010136337105407147,0.0024228463608584132,-0.0014092126503176985,2183.584249326137,5001.684591937583,-2818.1003426114457,0.00021019835010968688,0.0005,0.00013232169380069205,23.379277141471768,21.679425339542032,1.2348997240446809e-05,1.1459172395293941e-05
9,0.7113465412911734,0.7137994365362013,-0.0024528952450278974,3071.8265618642045,7977.220571006462,-4905.394009142257,0.0001806443390262608,0.0005,0.00011496454355250698,14.599949890630075,13.440598403591789,4.864960777779059e-06,4.479786193310679e-06
10,-0.21037918821944132,-0.20892629688986833,-0.0014528913295729917,2094.5149096188916,5000.585786020876,-2906.0708764019846,0.00020517985285190568,0.0005,0.0001277309592185547,22.724683673446915,20.996317683107147,1.1927557187236392e-05,1.1029651040983816e-05
11,0.249096275356089,0.2512022745369533,-0.002105999180864321,2268.930549547992,6481.181103432326,-4212.250553884334,0.00017073810364804444,0.0005,0.00010053300744520966,18.714077949708283,17.211266120145186,7.867527005612731e-06,7.248726134987978e-06
12,0.10510415630458435,0.10692142640534835,-0.001817270100764004,2377.578620754509,6012.010318766343,-3634.4316980118338,0.00019089441615436056,0.0005,9.796241753121659e-05,19.160821483588546,17.667257550858235,8.439130223396216e-06,7.785757772289594e-06
