market_instance,dyn_net_return,stat_net_return,return_improvement,dyn_total_revenue,stat_total_revenue,revenue_improvement,dyn_avg_fee,stat_avg_fee,dyn_fee_volatility,dyn_avg_volume,stat_avg_volume,volume_ratio_dyn,volume_ratio_stat
13,-0.6798903732901946,-0.6791446013299757,-0.0007457719602189661,1881.5198185606882,3373.405775773222,-1491.8859572125339,0.00028465816538298554,0.0005,0.00020261787910808468,35.95946781412888,34.13869051434196,3.30153058709013e-05,3.158545899489612e-05
14,0.1519203275239619,0.1536561888160808,-0.0017358612921189176,1932.862355958966,5404.659416474389,-3471.7970605154233,0.00016840933188062154,0.0005,9.110585572156887e-05,18.748962658859938,17.079075021090155,8.460091019601814e-06,7.707649039509392e-06
15,-0.22199195594312565,-0.2207091613268185,-0.001282794616307148,2256.8449027131114,4822.962278084508,-2566.117375371397,0.00022630489621244376,0.0005,0.00015231423554890332,21.6835589734887,20.128395574657866,1.1290264468366822e-05,1.0500827010028514e-05
16,1.4576443219510378,1.4603148007741864,-0.0026704788231486365,2832.7320894192226,8171.2562590322705,-5338.524169613048,0.00016706349249939772,0.0005,9.46098815470125e-05,15.452903744059217,14.204913958877745,5.728286470214035e-06,5.275139370011761e-06
17,-0.4049387075462969,-0.4038372712869702,-0.0011014362593266824,1550.729123011136,3753.4672649982253,-2202.7381419870894,0.00019649315032041313,0.0005,0.00011995509028665837,30.098860273500573,27.780437040774366,2.090659580248337e-05,1.9312725925081938e-05
18,-0.11715140898143384,-0.11571663466489687,-0.001434774316536963,1834.102715874511,4703.790771517533,-2869.6880556430224,0.00018654265902900047,0.0005,9.908380294793702e-05,22.757183883020875,20.91596042054542,1.2149857273372648e-05,1.1168941232587595e-05
19,-0.05578063292863732,-0.054271419530811486,-0.001509213397825837,2001.29130456925,5018.817718783899,-3017.526414214649,0.00019211485691121759,0.0005,0.0001113770255348941,22.81420667133854,21.051648431212207,1.1935439047542917e-05,1.1017054845731509e-05
20,0.7452294558685303,0.7481057825893953,-0.002876326720865019,2904.109198577312,8658.190324341276,-5754.081125763964,0.0001607768212603025,0.0005,9.249892070728776e-05,14.413280927870867,13.257545680685453,4.6972321675807885e-06,4.324552441897371e-06
21,0.012955746699935058,0.014443612874008482,-0.0014878661740734232,2510.5741287200444,5486.758690019198,-2976.1845612991538,0.00022508428176263293,0.0005,0.00014876092167903318,20.299944237566127,18.880834469576815,9.544380871905074e-06,8.89775574813264e-06
22,0.18960495880695105,0.19110421328697075,-0.001499254480019696,2039.127586229677,5038.715129136932,-2999.587542907255,0.00019577060420681826,0.0005,0.00011795372608208755,22.2461042304737,20.547912020312786,1.141703988932154e-05,1.0553865821165632e-05
23,0.33423831842529705,0.33628241466893233,-0.002044096243635274,2420.320890815281,6508.574924247084,-4088.254033431803,0.00018366904097391623,0.0005,0.00017043514862450255,16.81298202995825,15.464762252285917,6.72495303053279e-06,6.2035649401163074e-06
24,0.16071107630408787,0.16264062000170326,-0.001929543697615388,2346.3954016692473,6205.450216975875,-3859.054815306628,0.00018091963093457494,0.0005,0.00010406805611986834,20.526713631280742,18.954799304438257,9.121231283999696e-06,8.425296589083045e-06
25,0.19534045145539358,0.19671985318688023,-0.0013794017314866514,2386.351844070435,5145.947546572233,-2759.5957025017974,0.000230716994767918,0.0005,0.0001511735906069712,24.364295204760868,22.772670398576686,1.3658217787177807e-05,1.278318642174207e-05
26,-0.502330577665321,-0.5015362178270748,-0.0007943598382461614,2107.649280560964,3696.3875356651383,-1588.7382551041742,0.00027213906132093294,0.0005,0.0002062397158773536,32.658808326240745,30.773086489645056,2.5120900680659117e-05,2.3681781715973612e-05
27,-0.13478249383972818,-0.1329305792020253,-0.0018519146377028728,2825.192261914205,6529.046753551005,-3703.8544916368,0.00023143260437860413,0.0005,0.00020015333975442596,17.2526787369536,16.156289472863666,7.17903330004071e-06,6.7713975397015175e-06
28,0.06443036997926142,0.06599378650909103,-0.0015634165298296088,2000.4240823988357,5127.012288577276,-3126.5882061784405,0.00018670894959798304,0.0005,9.028178194344379e-05,21.949279807745626,20.18333565922541,1.1125163152768247e-05,1.0234210292419102e-05
29,-0.23090801088550453,-0.22973438161977067,-0.001173629265733861,1880.0070055016345,4228.571536390438,-2348.564530888804,0.00021318188632571335,0.0005,0.00011029836591868834,24.860329118437885,22.963835160337535,1.4906207402224732e-05,1.3771632092229289e-05
30,-0.11873331414111553,-0.1173762066708575,-0.0013571074702580233,2051.548996412363,4765.363819033948,-2713.814822621585,0.0002052969529825772,0.0005,0.00011047256001776932,26.65170334630336,24.765267738615847,1.5342468170983267e-05,1.4259348272291264e-05
31,-0.3570165431089628,-0.3563485058119221,-0.00066803729704068,2479.7334594654667,3816.7315075978104,-1336.9980481323437,0.0003155599475850708,0.0005,0.00024518823492192726,31.005967117259694,29.478440833597357,2.220966735591115e-05,2.109916344882016e-05
32,-0.04573018872355996,-0.04413654284561856,-0.0015936458779413978,2283.519136688661,5470.964642448148,-3187.445505759487,0.0002035658506182384,0.0005,0.00012184067372030425,20.648179902047136,19.092248133040254,9.856875695119208e-06,9.126437273557631e-06
33,-0.26225398867789806,-0.26078132062914877,-0.0014726680487492927,1886.7815618201648,4832.450919926601,-2945.6693581064364,0.00018749296177888224,0.0005,0.00010542787635955875,24.743834923257907,22.821002496820526,1.3820393267554321e-05,1.2749645246588147e-05
34,0.06173622209392442,0.0633327280720796,-0.00159650597815518,2294.61356764921,5486.818383540609,-3192.204815891399,0.00019974781001128023,0.0005,0.00010895702875316564,20.39180187467572,18.78395299331973,9.714301249567096e-06,8.949995563115344e-06
35,-0.20627906223641812,-0.2049918547548753,-0.001287207481542818,2492.3110096035125,5066.746983307693,-2574.4359737041805,0.00025771491395080613,0.0005,0.0002005585442262036,21.754249867538253,20.475988754352958,1.1352113630773528e-05,1.0734110682856736e-05
36,0.31366930882754085,0.31554791836700563,-0.0018786095394647817,2367.4452057624794,6124.74834015059,-3757.3031343881103,0.00018576160149526898,0.0005,0.00012082214939809404,18.920398401835133,17.434180090155667,8.246746890433775e-06,7.606761620183389e-06
37,-0.23325711984749173,-0.23217799751652196,-0.0010791223309697673,1474.0997067969245,3631.9439306404493,-2157.8442238435246,0.00019611058004661042,0.0005,0.00011266680872693944,32.32963833610738,29.82203794074322,2.456499822039358e-05,2.2654299879428124e-05
38,-0.0010259888154442887,0.0004543117980218958,-0.0014803006134661845,1952.1115153859155,4912.780019635842,-2960.6685042499266,0.00018966133805221186,0.0005,0.00013496860753376701,24.64677463495297,22.740327433571885,1.356021019610515e-05,1.250833932414099e-05
39,-0.40537413087661334,-0.404342577247579,-0.001031553629034343,2193.8086402756103,4256.819107085294,-2063.0104668096833,0.0002559785869153059,0.0005,0.00017833422595628487,26.78074935795587,25.219107323468354,1.6744430702674352e-05,1.5817420947259385e-05
40,-0.5623415932220511,-0.561542248849896,-0.0007993443721551197,1937.7333927553484,3536.874302705998,-1599.1409099506498,0.0002788687221945247,0.0005,0.0002140362849266529,32.97605072881121,31.148642007319346,2.8015318183342777e-05,2.6528921902009028e-05
