market_instance,dyn_net_return,stat_net_return,return_improvement,dyn_total_revenue,stat_total_revenue,revenue_improvement,dyn_avg_fee,stat_avg_fee,dyn_fee_volatility,dyn_avg_volume,stat_avg_volume,volume_ratio_dyn,volume_ratio_stat
0,0.08752116438473552,0.08909289286976448,-0.001571728485028956,1807.9178943974275,4952.746830640376,-3144.8289362429487,0.00017335341129289992,0.0005,9.644906061147296e-05,42742.10649754682,39156.511724427364,0.02157656398653896,0.019778894696484372
1,-0.588639456392203,-0.5877167240711595,-0.0009227323210435623,1339.304867617338,3184.9941392369387,-1845.6892716196007,0.00018846907255597208,0.0005,9.726690358409192e-05,27334.81653100606,25104.17238754057,0.020517990134411045,0.018790111099147442
2,0.0646874136573798,0.06624834911139985,-0.0015609354540200432,2130.1956483620443,5252.212137388383,-3122.0164890263386,0.00019203462453556524,0.0005,0.0001009783233699817,44857.060261573744,41568.37183989935,0.02308511566868907,0.02138201448990452
3,0.28922085774645956,0.29091639216705295,-0.001695534420593392,2000.856031884546,5391.601423260625,-3390.745391376079,0.0001744316162867187,0.0005,9.855066773779389e-05,46652.10996293443,42669.47174363001,0.0211395477734516,0.01933859737065337
4,-0.14394054837083678,-0.14248864785579768,-0.0014519005150391007,1513.199015168621,4416.850894489592,-2903.651879320971,0.000159187141454368,0.0005,7.744491788645407e-05,38076.58904589277,34901.4969491211,0.0226988636311169,0.020790023354826603
5,-0.5547004459304644,-0.5534332201008557,-0.001267225829608698,1338.0596316263536,3872.5336312798927,-2534.473999653539,0.0001595056488020911,0.0005,7.478838620580084e-05,33165.618875766064,30504.84419060435,0.023121525494949415,0.021240848405898845
6,0.12083488601176232,0.12227070586176124,-0.0014358198499989233,2069.5063221205282,4942.211891134216,-2872.7055690136876,0.00019510037368322323,0.0005,0.00012285087422613355,42392.431245125714,39105.21622962512,0.02186896404326958,0.020166169622995226
7,-0.3852914744797151,-0.38399578976369764,-0.0012956847160174867,1873.6459106896484,4464.911023911168,-2591.2651132215196,0.00019327272035624433,0.0005,0.00011118929054417925,38029.522665127304,35222.25614031787,0.022531676364629036,0.020827405044918496
8,0.0009299468678612029,0.0024228463608584132,-0.0014928994929972103,2016.206068903795,5001.684591937583,-2985.4785230337875,0.00019045836741993414,0.0005,0.00011487511472872984,42886.59931375909,39548.8178022847,0.02237490639544001,0.020638265262297558
9,0.7113224789407446,0.7137994365362013,-0.0024769575954566303,3023.7270400988564,7977.220571006462,-4953.493530907605,0.00017882616402967473,0.0005,9.212086848184324e-05,68721.16680747663,63217.501667056604,0.022244297356440016,0.020470858808865153
10,-0.21046087754052423,-0.20892629688986833,-0.0015345806506558979,1931.028301268227,5000.585786020876,-3069.557484752649,0.00018104555378672783,0.0005,8.853018632755754e-05,43023.32083934295,39523.64685661143,0.022045483156859034,0.020242131678772746
11,0.24907918834917503,0.2512022745369533,-0.002123086187778289,2234.419285534619,6481.181103432326,-4246.761817897707,0.0001679469901940931,0.0005,9.106334598769988e-05,55976.78586623846,51308.876024341356,0.022689247204006575,0.020818456378689947
12,0.10495333264563839,0.10692142640534835,-0.0019680937597099657,2075.92062329693,6012.010318766343,-3936.0896954694126,0.00016165820916957252,0.0005,7.426935146996475e-05,51998.50823971389,47562.76143146236,0.022235818852415927,0.020338123457443597
13,-0.6800433218565864,-0.6791446013299757,-0.0008987205266107745,1575.427616087096,3373.405775773222,-1797.978159686126,0.00020625875687616305,0.0005,0.00012185677377826825,28633.869961916575,26576.870596601024,0.021884228864967235,0.020252376819620485
14,0.15192767396842757,0.1536561888160808,-0.0017285148476532397,1947.5541183003231,5404.659416474389,-3457.105298174066,0.00016774706159143775,0.0005,8.849717555428899e-05,46952.98895119403,42774.4695287231,0.020915469315235347,0.019047664006692
15,-0.22210706043587497,-0.2207091613268185,-0.0013978991090564663,2026.147696053843,4822.962278084508,-2796.8145820306654,0.0001971819112477444,0.0005,0.00010720253323960495,41432.307965578846,38074.06204263202,0.021178624080171824,0.019478036784574753
16,1.4577259460101346,1.4603148007741864,-0.0025888547640517956,2995.961337988066,8171.2562590322705,-5175.294921044204,0.0001766376236241129,0.0005,9.266574332706987e-05,70592.61179602299,64833.37657890591,0.022425252430722454,0.020627739855518325
17,-0.4050349471435667,-0.4038372712869702,-0.0011976758565964696,1358.173048010351,3753.4672649982253,-2395.2942169878743,0.00016914274877334918,0.0005,9.764158508902533e-05,32336.405371991477,29604.517950600588,0.022022543083297052,0.020171049556636057
18,-0.11719460004212114,-0.11571663466489687,-0.0014779653772242635,1747.7025995414012,4703.790771517533,-2956.088171976132,0.00017609609113245116,0.0005,9.43718519742011e-05,40591.60001550003,37199.1700552468,0.021474804975131493,0.01967708810673817
19,-0.05586783340445929,-0.054271419530811486,-0.0015964138736478048,1826.8732636160971,5018.817718783899,-3191.944455167802,0.00017062028178706337,0.0005,8.769070920756456e-05,43226.70839514715,39686.2822580248,0.022154875440575705,0.020328086382917696
20,0.7453698074325689,0.7481057825893953,-0.0027359751568264423,3184.5195858481775,8658.190324341276,-5473.670738493099,0.00017743605044220396,0.0005,0.00010632791865878045,74338.50125528144,68584.07391764065,0.02274478366320725,0.020995963377051837
21,0.012723788687967929,0.014443612874008482,-0.0017198241860405528,2046.5500760268012,5486.758690019198,-3440.2086139923967,0.00017594576185249466,0.0005,9.742516922669731e-05,47337.94262093219,43339.151091779306,0.022003314005397418,0.0201621246800625
22,0.18958542269453058,0.19110421328697075,-0.0015187905924401723,2000.1122589432164,5038.715129136932,-3038.6028701937157,0.00018732633695023326,0.0005,0.00011144529638053328,43285.155692795626,39868.02703920067,0.021887404313078573,0.020160564839630614
23,0.33427054497266395,0.33628241466893233,-0.0020118696962683758,2484.7025785058404,6508.574924247084,-4023.8723457412434,0.00018579265633587633,0.0005,0.00014696633052372108,56190.32745766519,51513.68411762706,0.02149670839192887,0.019740328674582426
24,0.16084430117874757,0.16264062000170326,-0.0017963188229556948,2612.845150976884,6205.450216975875,-3592.6050659989914,0.0001982924806982902,0.0005,0.00013185414940966676,52935.82571265181,49070.90464473155,0.023174269043827116,0.02148236280515457
